Contract Number,Contractor                       Name,Short                                  Description,Full                                                       Description,Contract Status,Contract Type,Contract Entered,Contract                Expiration,Contract Amendments,Last                             Amendment,Original                                 Amount,Contract                                           Total,Managing                                                    Division
008759,LA COUNTY MTA,MEASURE M ASSURANCES AND UNDERSTANDINGS,"Measure M Assurances and Understandings. City agree to be in compliance with Measure M Local Return Guidelines (""LR""). Funds to be received are derived from one-half cent sales tax approved pursuant to SB767.",A,m-mou,10/16/2017,06/30/2056,0,,0.00,0.00,Revenue Management
008761,DUKES ROOT CONTROL INC.,PROVIDE SEWER ROOT CONTROL SERVICES,Provide sewer root control on City owned sewers,A,profsvcs,10/17/2017,06/30/2020,0,,"212,772.00","212,772.00",Engineering
008773,"LOURA, DEREK M",PROVIDE MUSIC FOR PICK UP SHUTTLE,"Provide music for the shuttle ""The Pick-Up"".",A,profsvcs,11/06/2017,09/30/2019,2,10/03/2018,"2,000.00","9,000.00",Social Services
008786,CORT BUSINESS SVCS CORPORATION,SUPPLY OFFICE FURNITURE UNDER INTERGOV COOPERATIVE PURCHASING,Supply new and used office furniture with related accessories and services per NJPA Contract #31715,A,zgovpurag,11/21/2017,04/09/2020,0,,"125,000.00","125,000.00",Facilities & Field Services
008787,LA CO/AUDITOR/CONTROLLER,PROVIDE MENTAL HEALTH EVALUATION TEAM FOR CITY AND PROVIDERS,"Memorandum of agreement for Mental Health evaluation team for City and its providers for the homeless community. Amend. #1 allows these extensions:  4/25/19-4/24/20  $176,000.---- 4/25/20-4/24/21  $176,000. ---- 4/25/21-4/24/22  $176,000.",A,profsvcs,11/21/2017,05/24/2022,1,05/23/2019,"176,000.00","352,000.00",Public Safety Administration
008796,NBS GOVERNMENT FINANCE GROUP,CONSULTANT RE BEVERLY HILLS WATER DISTRICT SURCHARGE,Consultant services re Beverly Hills Water District surcharge.,A,profsvcs,12/04/2017,07/31/2019,1,09/28/2018,"10,000.00","35,000.00",Finance Administration
008798,JASON ADDISON SMITH CONSULTING,PLAN CHECK SUPPLEMENTAL SERVICES AS NEEDED,"For plan check and supplemental Building and Safety services as needed. The combined total not-to-exceed amount over the contract terms is $4,500,000. for the four vendors in this pool: JAS, M6, Transtech and VCA.",A,profsvcs,12/05/2017,12/31/2020,0,,"4,500,000.00","4,500,000.00",Building & Safety
008799,VCA CODE GROUP,PLAN CHECK AND BUILDING AND SAFETY SERVICES AS NEEDED,"For plan check and supplemental Building and Safety services as needed. The combined total not-to-exceed amount is $4,500,000. for the four vendors in this pool: JAS, M6, Transtech and VCA.",A,profsvcs,12/05/2017,12/31/2020,0,,"4,500,000.00","4,500,000.00",Building & Safety
008800,M6 CONSULTING INC,PLAN CHECK AND BUILDING & SAFETY SUPPLEMENTAL SERVICES AS NEEDED,"For plan check and supplemental Building and Safety services as needed. The combined total not-to-exceed amount over the contract term is $4,500,000. for the four vendors in this pool: JAS, M6, Transtech and VCA.",A,profsvcs,12/05/2017,12/31/2020,3,06/05/2019,"4,500,000.00","4,539,980.00",Building & Safety
008801,TRANSTECH ENGINEERS INC,PLAN CHECK AND BUILDING AND SAFETY SERVICES AS NEEDED,"For plan check and supplemental Building and Safety services as needed. The combined total not-to-exceed amount is $4,500,000. for the four vendors in this pool: JAS, M6, Transtech and VCA.",A,profsvcs,12/05/2017,12/31/2020,0,,"4,500,000.00","4,500,000.00",Building & Safety
008812,DAKOTA COMMUNICATIONS,METRO RAIL SERVICE STAKEHOLDER OUTREACH,"Advocating for Metro Rail Service, includes stakeholder outreach thru meetings, event production and social media coordination.",A,profsvcs,12/08/2017,06/30/2020,2,04/16/2019,"60,000.00","138,750.00",Planning & Development Services Administration
008838,HISTORIC RESOURCES GROUP,CONSULTANT FOR RESTORATION PLANNING,Consultant for development of restoration plan for City owned facilities.,A,profsvcs,01/08/2018,06/30/2020,0,,"25,000.00","25,000.00",Facilities & Field Services
008842,AMERICAN GTS INC,SHUTTLE OPERATION SERVICES SUNSET STRIP,Operate Sunset Strip entertainment shuttle program.,A,profsvcs,01/17/2018,08/31/2020,4,08/21/2019,"280,100.00","851,100.00",Social Services
008843,LOS ANGELES ART ASSOCIATION,CURATE SCULPTURE EXHIBIT,Curate and install temporary sculpture exhibit on Santa Monica/Doheny traffic median.,A,profsvcs,01/17/2018,06/30/2020,2,08/21/2019,"35,000.00","38,200.00",Arts
008844,IPS GROUP INC,"PARKING METER PARTS, DATA MANAGEMENT, CARD PROCESSING","Parking meter purchase and installation, parts and replacement wireless data management system, credit card procesing",A,web/tech,01/17/2018,06/30/2021,1,02/21/2019,"2,175,725.00","3,636,928.00",Parking
008845,CONDUENT STATE &LOCAL SOLUTNS,PARKING PERMIT MANAGEMENT SYSTEM,"Provide hardware, software and support for parking permit management system.",A,web/tech,01/17/2018,06/30/2021,0,,"725,000.00","725,000.00",Parking
008848,WOMEN IN FILM,GRANT FOR WOMEN IN FILM SPEAKER SERIES,Grant for Women in Film speaker series.,A,grants,01/19/2018,12/31/2019,1,02/19/2019,"7,500.00","15,000.00",Arts
008851,ROGUE ARTISTS ENSEMBLE,ARTS GRANT 2018-19,Arts grant for 2018 for Senor Plummer's Final Fiesta interactive theatre event during August 2018.,A,grants,01/23/2018,12/31/2019,2,02/13/2019,"7,000.00","28,000.00",Arts
008853,GREENWAY ARTS ALLIANCE,ARTS PROJECT GRANT FOR PERFORMING ARTS FESTIVAL,"Arts project grant for ""The LA Get Down Festival"" events during June 2018.",A,grants,01/23/2018,12/31/2019,1,02/13/2019,"8,000.00","16,000.00",Arts
008860,OPTIMA RPM INC,CITY HALL LOBBY IMPROVEMENTS,"City Hall Lobby improvements, including stairs and security updates.  Contract amount is $749,000. plus contingency amount of $187,250.",A,pworks,01/24/2018,06/30/2020,0,,"936,250.00","936,250.00",Facilities & Field Services
008868,LA DIVERSITY FILM FESTIVAL,2018 ARTS DEVELOPMENT GRANT,Weho Arts organizational development grant for 2018.,A,grants,01/26/2018,12/31/2020,1,02/19/2019,"2,500.00","7,500.00",Arts
008869,KABBARA ENGINEERING,ENGINEERING DESIGN FOR MELROSE AVE STREETSCAPE,Engineering design for Melrose Ave Complete Streets streetscape project.,A,profsvcs,01/31/2018,06/30/2020,1,04/16/2019,"467,359.00","660,266.00",Engineering
008878,MAK CENTER FOR ART & ARCHTCTR,ARTS PROJECT GRANT FOR EXPERIMENTAL PUBLIC ART,"Arts project grant for ""The Conscientious Objector""",A,grants,02/09/2018,12/31/2019,1,02/13/2019,"8,500.00","17,000.00",Arts
008879,AOC MOVING AND STORAGE INC,MOVING AND STORAGE SERVICES ON CALL,For moving and storage on call services.,A,profsvcs,02/12/2018,06/30/2020,0,,"25,000.00","25,000.00",Facilities & Field Services
008881,"RODRIGUEZ, TAYLER",HEALTH CARE EDUCATIONAL TRAININGS,Health care trainings for providers at Iris Cantor Center for lesbian and bisexual women.,A,profsvcs,02/12/2018,06/29/2020,3,03/05/2019,"2,000.00","8,500.00",Strategic Initiatives
008884,LA CO/FIRE DEPARTMENT,MOU RE USE OF MECHANICAL CPR DEVICES,MOU for use of mechanicial CPR devices.  (LUCAS - Lund University Cardiac Arrest System),A,m-mou,02/22/2018,10/01/2027,0,,"35,000.00","35,000.00",Sheriff/Protective Services
008891,TANKO STREETLIGHTING INC,ANNUAL STREET LIGHTING MAINTENANCE,"Annual agreement to repair and replace street light poles and fixtures as necessary.  Annual amount not to exceed $25,000.",A,profsvcs,03/01/2018,12/31/2019,1,09/11/2019,"50,000.00","50,000.00",Engineering
008892,M.C. DEAN INC,PREVENTIVE MAINTENANCE FOR CITY UPS BATTERIES,"Preventive maintenance agreement for City UPS batteries, replacement of batteries as needed. Three year agreement, not to exceed $25,000. in one year.",A,web/tech,03/01/2018,12/31/2020,0,,"75,000.00","75,000.00",Information Technology
008896,BAKER & HOSTETLER LLP,LEGAL SERVICES FOR PROJECT AT 431 LA CIENEGA,Legal services regarding project at 431 La Cienega including environmental documents and appeal on behalf of City.,A,profsvcs,03/06/2018,12/31/2020,0,,"150,000.00","150,000.00",Planning & Development Services Administration
008900,JAMES ART PROJECTS LLC,MOU FOR LOAN OF PAINTING FOR EXTENDED DISPLAY,"Loan agreement for ""West Hollywood Park"" painting for extended display at West Hollywood Library.",A,m-mou,03/07/2018,03/15/2026,0,,0.00,0.00,Arts
008907,EXECUTIVE VAULT & ATM MGMT,LOCKSMITH REPAIRS AND MAINTENANCE AT CITY BUILDINGS,Locksmith repairs and maintenance at City buildings.,A,profsvcs,03/07/2018,06/30/2020,0,,"15,000.00","15,000.00",Facilities & Field Services
008922,"SMITH, PATRICIA",COMPLETE STREETSCAPE PLAN FOR ROBERTSON BLVD,Complete streetscape plan for Robertson Blvd between Melrose and Santa Monica include update to Design District Streetscape Master Plan.,A,profsvcs,03/20/2018,06/30/2020,1,07/22/2019,"154,070.00","154,070.00",Long Range Planning
008930,MOAB TRAINING INTERNATIONAL,MANAGEMENT OF AGGRESSIVE BEHAVOIR TRAINING,Training in management of aggressive behavoir (MOAB) for seminar for City staff.,A,profsvcs,03/21/2018,03/12/2021,0,,"20,000.00","20,000.00",Assistant City Manager
008933,NDPSTAFF LLC,PROVIDE FOOD AND BEVERAGES FOR COMMUNITY EVENTS,"Provide food and beverages for community events.  Contract amount $7,500. over contract period, not to exceed $2,500. per year.",A,profsvcs,03/28/2018,06/30/2020,0,,"7,500.00","7,500.00",Event & Film Services
008937,CENTER FOR LAND USE,CURATE AND INSTALL TEMPORARY SCULPTURE EXHIBIT,Curate and install temporary sculpture exhibit at Plummer Park Community Center Nov-Dec 2018.,A,profsvcs,04/03/2018,06/30/2020,1,02/05/2019,"30,000.00","38,000.00",Arts
008947,CELEBRATION PRODUCTIONS CORP,ARTS GRANT,Organizational arts grant for 35th Main Stage season.,A,grants,04/17/2018,12/31/2020,1,02/19/2019,"2,500.00","7,500.00",Arts
008949,SERCO INC,PARKING METER MAINTENANCE AND COLLECTION,"Parking meter maintenance, installation and removal; revenue - collection, depositing and reporting of all meter coin revenue.",A,profsvcs,04/17/2018,06/30/2023,0,,"2,552,713.00","2,552,713.00",Parking
008958,FRANCHISE TAX BOARD,DATA EXCHANGE PROGRAM FOR BUSINESS TAX DATA,For participation in business tax data exchange program with Franchise Tax Board.,A,m-mou,04/23/2018,12/31/2020,0,,0.00,0.00,Revenue Management
008959,VALENTINE GROUP PR,EVENT RELATED PR AND MEDIA RELATIONS AS NEEDED,"Event related PR and media relations on as-needed basis.  Annual amount limit is $25,000. per year.",A,profsvcs,04/24/2018,06/30/2020,1,06/12/2019,"25,000.00","50,000.00",Communications Administration
008960,GIS PLANNING INC,BUSINESS DATA AND CONSUMER DEMOGRAPHICS,Web based software services providing components for the City's website.,A,web/tech,04/24/2018,07/09/2020,2,07/22/2019,"4,500.00","10,439.00",Business Development
008975,GEHL STUDIO INC,STREETSCAPE PILOT PROJECTS FOR SUNSET BLVD,Streetscape pilot projects for Sunset Blvd. improvements.,A,profsvcs,05/08/2018,12/31/2019,0,,"355,000.00","355,000.00",Long Range Planning
008976,HARRIS & ASSOCIATES,DESIGN BEVERLY BLVD COMPLETE STREETS MASTER PLAN,Design Beverly Blvd Complete Streets project master plan.,A,profsvcs,05/08/2018,06/30/2020,2,04/03/2019,"514,921.00","839,615.00",Long Range Planning
008978,GOVINVEST INC,ACTUARIAL EVALUATION OPEB-SAAS 18-22,SAAS and Actuarial services to provide OPEB BASB75 OPEB valuations needed to prepare report for annual financial statements.,A,web/tech,05/11/2018,06/30/2023,1,02/14/2019,"65,500.00","100,000.00",General Accounting
008979,PICO RENTS INC,RENTAL EQUIPMENT FOR CITY EVENTS,"For rental, delivery, set up breakdown and pick up of equipment for City sponsored and co-sponsored events.",A,profsvcs,05/15/2018,06/30/2021,0,,"24,900.00","24,900.00",Event & Film Services
008985,NEOPOST INC,POSTAGE MACHINE LEASE WITH METER RENTAL,"Postage machine with meter rental lease.  60 Monthly lease payments at $300.19 each.  Product ID's - IN700, IND57, INWP30.",A,zgovpurag,05/25/2018,06/01/2023,0,,"18,011.00","18,011.00",City Clerk
008986,GLADWELL GOVERNMENTAL SVCS INC,RECORDS MANAGEMENT CONSULTANT,Update for revise City records retention schedule.,A,profsvcs,05/30/2018,06/30/2020,0,,"1,000.00","1,000.00",City Clerk
008992,GA TECHNICAL SERVICES INC,ON-CALL ELECTRICAL SERVICES AND LIGHTING INSPECTIONS,For on-call electrical services and lighting inspections.,A,pworks,06/04/2018,06/30/2021,0,,"882,174.00","882,174.00",Facilities & Field Services
008996,WEHO CHAMBER OF COMMERCE,"BUSINESS MARKETING AND PROMOTION, SPONSORSHIPS","Annual agreement for business outreach, marketing and promotion, discretionary sponsorships.",A,profsvcs,06/05/2018,06/30/2020,0,,"100,000.00","100,000.00",Economic Development Administration
009000,CITY OF SANTA MONICA,MOU FOR REGIONAL BIKE SHARE PROGRAM,"MOU between cities of Santa Monica, Beverly Hills and Regents of UCLA for operation of ""Bike Share Connect""",A,m-mou,06/05/2018,04/24/2023,0,,0.00,0.00,Long Range Planning
009005,CPR1 LLC,PROVIDE AUTOMATED DEFIBRILLATORS PROGRAM,Provide 12 automated defribrillators and monitoring program.,A,profsvcs,06/07/2018,06/30/2020,1,08/13/2019,"14,500.00","16,775.00",Public Safety Administration
009010,JENSEN HUGHES INC,CONSULTANT FOR FIRE SPRINKLER ISSUES AT LIBRARY,Develop plan for fire sprinkler issues at WH Library.,A,profsvcs,06/08/2018,06/30/2020,0,,"25,000.00","25,000.00",Facilities & Field Services
009011,ARION GLOBAL INC,DISPOSAL OF HAZARDOUS WASTE FROM CITY BUILDINGS,Pick up of hazardous materials and waste from City buildings.,A,profsvcs,06/08/2018,06/30/2020,0,,"25,000.00","25,000.00",Facilities & Field Services
009012,EMAGINED SECURITY INC,TESTING OF CITY IT INFRASTRUCTURE,For testing of City IT infrastructure.,A,web/tech,06/08/2018,08/30/2019,0,,"25,000.00","25,000.00",Information Technology
009018,"WHEELER, JAMES CHEDA",AQUATICS STAFF IN SERVICE TRAINING,"Instructor for aquatics staff, in-service training.",A,profsvcs,06/11/2018,06/30/2020,1,06/18/2019,"1,850.00","5,850.00",Recreation Services
009020,CALIFORNIA LGBT ARTS ALLIANCE,ARTS PROJECT GRANT FOR MEDIA ART PERFORMANCE,Arts project grant for media art performance.,A,grants,06/12/2018,12/31/2019,1,02/13/2019,"6,500.00","13,000.00",Arts
009021,"SPOODIS, MICHAEL ANTHONY","EDITING, COPYEDITING AND WRITING AS NEEDED","Provide editing, copyediting and writing as needed.",A,profsvcs,06/12/2018,06/30/2020,0,,"50,000.00","50,000.00",Communications Administration
009026,SHARP ELECTRONICS CORPORATION,LEASE OF 13 COPIERS,Lease of 13 Sharp copies for City Hall and City facilities.  Five year agreement.,A,lease,06/18/2018,06/30/2023,1,09/06/2018,"448,045.00","459,388.00",Finance Administration
009027,MCCI LLC,PUBLIC RECORDS REQUEST SOFTWARE,"Provide software for Public Records requests (JustFOIA).  Annual amounts:  FY 2017-18 $8,500.  FY 2018-19 $6,000.  FY 2019-20 $6,000.",A,profsvcs,06/19/2018,06/30/2020,1,10/02/2019,"20,500.00","20,833.00",City Clerk
009034,URBAN MATH LLC,PUBLIC BENEFIT ANALYSIS RE HOUSING AFFORDABILITY,Public benefit analysis to promote housing affordability.,A,profsvcs,06/20/2018,12/31/2019,1,05/28/2019,"60,000.00","60,000.00",Rent Stabilization & Housing
009038,MYDATT SERVICES INC,SECURITY AMBASSADOR PROGRAM FOR SANTA MONICA BLVD.,"Security Ambassador program for Santa Monica Blvd. bike patrol officers.  FY 2018-19 $1,551,530, FY 2019-20 $1,582,561.",A,profsvcs,06/21/2018,06/30/2020,1,09/26/2019,"3,134,091.00","3,753,010.00",Public Safety Administration
009039,MYDATT SERVICES INC,SECURITY AMBASSADOR PROGRAM SUNSET BLVD.,"Security ambassador bike patrol officers for Sunset Blvd.  For FY 2018-19 $525,000. For FY 2019-20 $535,000.",A,profsvcs,06/21/2018,06/30/2020,0,,"1,060,000.00","1,060,000.00",Public Safety Administration
009041,EMERGENCY-1 RESPONSE INC,PROVIDE MEDICAL CARE CENTERS AT MAJOR CITY EVENTS,"Provide medical care centers for Halloween, Pride and other major City events as needed.",A,profsvcs,06/21/2018,06/30/2020,0,,"250,000.00","250,000.00",Public Safety Administration
009042,FILE KEEPERS LLC,PROVIDE OFF-SITE STORAGE AND DOCUMENT DESTRUCTION,Provide off-site storage and document destruction.,A,profsvcs,06/22/2018,06/30/2020,0,,"48,000.00","48,000.00",City Clerk
009043,ALLIANCE FOR HOUSING & HEALING,TENANT RELOCATION ASSISTANCE,For tenant relocation assistance and support.,A,profsvcs,06/22/2018,06/30/2020,0,,"50,000.00","50,000.00",Rent Stabilization & Housing
009044,JFS/HOARDING TASK FORCE,ASSISTANCE WITH BED BUGS AND HOARDING PROBLEMS,Assistance to low income residents with bed bug or hoarding issues.,A,profsvcs,06/22/2018,09/30/2019,1,08/22/2019,"40,000.00","40,000.00",Rent Stabilization & Housing
009045,MAPLE COUNSELING CENTER,PROVIDE CRISIS COUNSELING SERVICES TO COMMUNITY,"Provide crisis counseling and other services to the community.  Council approved $33,518 for FY 2018-19, $34,188. for FY 2019-20 PLUS additional $5,000. contingency to be applied by supplemental if needed.",A,profsvcs,06/22/2018,06/30/2020,0,,"67,706.00","67,706.00",Public Safety Administration
009046,LOS ANGELES LGBT CENTER,DOMESTIC VIOLENCE COUNSELING,"Domestic violence safety plan and community counseling. Contract amount FY 2018-19 $ 54,000, for FY 2019-20 $55,080.",A,profsvcs,06/22/2018,06/30/2020,0,,"109,080.00","109,080.00",Public Safety Administration
009047,PACWEST SECURITY SERVICES,"SECURITY GUARDS AT CITY HALL, PARKS, PARKING LOTS","Provide security guards at City Hall, Parks, parking lots and special events as arranged.  FY 2018-19 $490,000.  FY 2019-20 $499,800., $20,000. for special events.",A,profsvcs,06/22/2018,06/30/2020,0,,"1,009,800.00","1,009,800.00",Public Safety Administration
009048,AMETRON,PROVIDE AV SERVICES FOR SPECIAL EVENTS,Provide AV services for community special events.,A,specevents,07/02/2018,06/30/2021,0,,"24,900.00","24,900.00",Event & Film Services
009054,SUPERIOR PROPERTY SERVICES INC,PRESSURE WASHING AND PORTER SERVICES,"Pressure washing, graffiti removal, porter services, trash and shopping cart removal, Big Belly trash compactor maintenance.  Council approval includes $250,000. annual contingency for other related cleaning services.",A,profsvcs,07/10/2018,08/31/2020,0,,"2,434,000.00","2,434,000.00",Facilities & Field Services
009059,"SATT, JOAN F",CONSULTANT FOR SOLID WASTE AND RECYCLING PROJECTS,Consultant for solid waste and recycling projects.,A,profsvcs,07/11/2018,06/30/2020,0,,"23,400.00","23,400.00",Engineering
009068,"DAVIS, KEITH L",BASKETBALL INSTRUCTOR,"Recreation instructor for basketball classes and camp. Instructor compensation is 70% of class registration fees, not to exceed $12,000.",A,recreation,07/16/2018,06/30/2020,1,07/09/2019,"12,000.00","28,240.00",Recreation Services
009069,"DEWHITT, MARK",YOGA AND SELF CARE 101 CLASS INSTRUCTOR,"Instructor for yoga and self care classes. Compensation is 75% of registration fees for Yoga Basics class and 70% of class registration fees for the self-care classes, total not to exceed $5,000.",A,recreation,07/16/2018,06/30/2020,1,07/09/2019,"5,000.00","24,635.00",Recreation Services
009072,BOULDER AI INC,INSTALL AND MAINTAIN SMART CITY INSECTION CAMERAS,For installation and maintenance of intersection cameras and sensors as part of Smart City public safety pilot program.,A,profsvcs,07/17/2018,12/31/2019,1,06/26/2019,"20,000.00","25,000.00",Innovation
009074,"DE SOTO-FOLEY, ALICIA",CONSULTANT FOR HEALTH WEHO SCHOOL GARDENING PROGRAM,Consultant for Healthy West Hollywood school gardening program.,A,profsvcs,07/20/2018,06/30/2020,0,,"15,140.00","15,140.00",Social Services
009075,SCI CONSULTING GROUP,CANNABIS APPLICATION SCREENING AND SCORING,Consultant for screening and scoring cannabis applications by evaluation committee.,A,profsvcs,07/20/2018,06/30/2020,3,09/09/2019,"25,000.00","75,000.00",City Manager / Legislative & Executive
009077,RICHARD P HULSER CONSULTING,ESTABLISH ARCHIVE FOR CITY OWNED ART,"Establish archive for City owned art, update inventory, identify preservation concerns, draft collection development policy.",A,profsvcs,07/23/2018,12/31/2019,2,05/10/2019,"3,000.00","33,000.00",Arts
009078,MV TRANSPORTATION,TRANSIT SERVICES,"Transit services including Cityline, Cityline X, Dial a Ride and TLC Door to Door, seven year agreement with option to renew for 3 additional years. Amend. #1 revises the time of performance to begin no later than November 1, 2018 per Council approval 8/20/18.",A,profsvcs,07/25/2018,06/30/2025,1,08/21/2018,"15,735,074.00","15,735,074.00",Social Services
009079,NAYA LLC,SOCCER CLASS INSTUCTOR,"Soccer class instructor, compensation is 70% of class registration fees, not to exceed $10,000.",A,recreation,07/25/2018,06/30/2020,1,07/09/2019,"10,000.00","25,426.00",Recreation Services
009080,LIEBERT CASSIDY WHITMORE,LABOR RELATIONS TRAINING WORKSHOPS AND CONSULTING,Labor relations training workshops and consulting.,A,profsvcs,07/25/2018,06/30/2020,1,09/23/2019,896.00,"5,246.00",Human Resources
009087,"KONICA MINOLTA BUSINESS, SOLUTIONS USA, INC.",INSTALL AND MAINTAIN SMART CITY CAMERAS,Install and maintain Smart City cameras and sensors for public safety pilot program.,A,profsvcs,08/07/2018,12/31/2019,1,06/26/2019,"20,000.00","25,000.00",Innovation
009101,CELLCO PARTNERSHIP,INSTALL AND MAINTAIN PILOT PROGRAM CAMERAS AND SENSORS,Install and maintain cameras and sensors for public safety pilot program.,A,profsvcs,08/16/2018,12/31/2019,1,06/27/2019,"10,000.00","15,000.00",Innovation
009102,CSAC EXCESS INSURANCE AUTHORIT,INSURANCE CERTIFICATE MANAGEMENT,"Co-op agreement to provide use of Exigis for insurance certificate management including Eden interface.  Estimated annual cost $12,500.  Annual fees $12.50 per compliance evaluation/year.",A,zgovpurag,08/21/2018,08/20/2028,0,,"141,980.00","141,980.00",Finance Administration
009105,"INGENTE, LUCIA",MICRO-GRANT FOR LITTLE FREE LIBRARY INSTALLATION,Micro-grant for installation of Little Free Library,A,grants,08/24/2018,12/31/2019,0,,600.00,600.00,Arts
009123,"COHEN, SUSAN",TRAINING FOR WOMENS HEALTH EDUCATION,Honorarium for training at Women's Health Collaborative Education Program.,A,specevents,09/10/2018,06/30/2020,0,,"1,000.00","1,000.00",Strategic Initiatives
009127,BGM INSTALLATION,STONE ARCHITECTURAL REPAIRS TO CITY BUILDINGS,"Repairs to City buildings, providing labor and materials for stone architectural repairs.",A,profsvcs,09/11/2018,06/30/2020,0,,"25,000.00","25,000.00",Facilities & Field Services
009128,RAIMI & ASSOCIATES INC,GREEN BUILDING POLICY DEVELOPMENT,"Green Building policy program development, including working  group sessions.",A,profsvcs,09/12/2018,06/30/2020,1,07/19/2019,"37,870.00","42,870.00",Long Range Planning
009129,"COST RECOVERY SYSTEMS, INC.",CLAIMS RECOVERY FOR LEGISLATIVE MANDATED CLAIMS,Claims recovery for legislative mandated claims.,A,profsvcs,09/12/2018,06/30/2021,1,09/12/2019,"10,000.00","29,750.00",Revenue Management
009130,PLUMBING BY TODD R MARSH INC,ON-CALL PLUMBING AND DRAIN REPAIRS,On-call plumbing and drain repairs.,A,pworks,09/12/2018,07/31/2020,0,,"25,000.00","25,000.00",Facilities & Field Services
009131,"JOHN K. KEEFE PLUMBING, INC.",ON-CALL PLUMBING REPAIRS,On-call plumbing repairs.,A,profsvcs,09/13/2018,07/31/2020,0,,"25,000.00","25,000.00",Facilities & Field Services
009142,"PRO, LENNY",INSTRUCTOR FOR BALLROOM DANCE CLASSES,"Compensation for ballroom dance classes at Plummer Park will be 70% of class registration fees, not to exceed $1,000.",A,recreation,09/26/2018,06/30/2020,2,07/09/2019,"1,000.00","24,500.00",Recreation Services
009143,"FLOWERS, CHARLES",POET LAUREATE AGREEMENT,"Agreement for City poet laureate for City, two year agreement.",A,specevents,09/26/2018,10/17/2020,1,03/29/2019,"5,000.00","5,500.00",Arts
009144,"ROMAN, DANNY",INSTALLATION OF PARKLET IN FRONT OF BIKES AND HIKES,City grant for installation of parklet in front of Bikes and Hikes at 8250 Santa Monica Blvd.,A,grants,09/26/2018,12/31/2019,0,,"25,000.00","25,000.00",Long Range Planning
009146,PRIME PAINTING CONTRACTORS INC,ON CALL PAINTING SERVICES,On Call painting services,A,pworks,09/27/2018,06/30/2021,0,,"128,729.00","128,729.00",Facilities & Field Services
009147,NLC GROUP LLC,GRANT FOR INSTALLATION OF PARKLET 1051 HAVENHURST,"Black Bicycle Cafe to install and maintain parklet in two one-street parking spaces adjacent to 1051 Havenhurst Drive.
Consent to Assignment effective 2/5/19.  Eden entry 3/15/19.  
DBA Miss Melbourne Coffee.",A,grants,10/01/2018,12/31/2019,1,03/19/2019,"25,000.00","25,000.00",Long Range Planning
009149,JONES LANG LASALLE BROKERAGE,REAL ESTATE BROKER SERVICES RE 8383 SANTA MONICA BLVD,Real estate broker services for City owned commercial space at 8383 Santa Monica Blvd.  Commission based fee,A,profsvcs,10/02/2018,10/01/2019,0,,"272,000.00","272,000.00",Business Development
009151,MICHAEL BAKER INTERNATIONAL,ON-CALL TEMPORARY ENGINEERING STAFF,Temporary engineering staff services.  Two one-year extensions are allowed per Council approval.,A,profsvcs,10/02/2018,06/30/2020,3,08/22/2019,"100,000.00","371,796.00",Engineering
009152,AMBIANCE TRANSPORTATION LLC,ON DEMAND SENIOR/DISABLED TRANSPORTATION SERVICES,Operation and administration of on-demand transportation program for senior and disabled.,A,profsvcs,10/02/2018,12/31/2020,1,09/25/2019,"900,000.00","900,000.00",Social Services
009153,LOS ANGELES REGIONAL TAP,MOU METRO TAP CARD SELLER AGREEMENT,"MOU for Metro Tap Card, seller agreement.  Agmt does not expire, review in 10 years.",A,m-mou,10/02/2018,06/30/2028,0,,"1,000,000.00","1,000,000.00",Social Services
009160,RISE INTERPRETING INC,ASL INTERPRETING SERVICES,"American Sign Language interpreting services for Public Safety events, including CERT training and Transgender Awareness Month events.",A,profsvcs,10/09/2018,06/30/2020,1,02/20/2019,"4,375.00","7,500.00",Public Safety Administration
009161,AMERICAN LANGUAGE SERVICES,ASL AND RUSSIAN TRANSLATION FOR SOCIAL SERVICES,ASL and Russian translation for Social Services.,A,profsvcs,10/09/2018,06/30/2020,0,,"3,000.00","3,000.00",Social Services
009164,LA CO/FIRE DEPARTMENT,INCLUSION IN LA COUNTY CONSOLIDATED FIRE DISTRICT,"Ordinance 39, inclusion of West Hollywood 1-84 in the LA County Consolidated Fire Protection District.",A,zgovpurag,10/11/2018,01/01/3000,0,,0.00,0.00,Public Safety Administration
009165,STC INTERPRETING,TRANSLATION SERVICES FOR RSH,Translation services for RSH for Russian and Spanish.,A,profsvcs,10/12/2018,06/30/2022,2,03/28/2019,"1,000.00","22,000.00",Rent Stabilization & Housing
009167,ART GALLERY SERVICES,INSTALL ART EXHIBITS AT VARIOUS CITY LOCATIONS,Install art exhibits at various City locations and provide art transportation within LA County if needed.,A,profsvcs,10/15/2018,08/30/2021,0,,"20,000.00","20,000.00",Arts
009172,MCCORMICK AMBULANCE,LA COUNTY AGMT FOR AMBULANCE SERVICES FOR SPECIAL EVENTS,Intergovernmental agreement along with LA County for ambulance services at special events. City of West Hollywood is within EOA #9.,A,zgovpurag,10/16/2018,11/30/2026,0,,0.00,0.00,Public Safety Administration
009176,HIGH PRESSURE ZONE LLC,MARKETING AND PROMOTION FOR CITYLINE SERVICE,Marketing and promotion for Cityline transportation service.,A,profsvcs,10/16/2018,06/30/2021,1,08/16/2019,"45,000.00","45,000.00",Social Services
