"Obj";"Organo";"Procedimiento de adjudicación";"Tipo de contrato";"Importe de licitación";"Importe de adjudicación";"Instrumento de publicación";"Número de licitadores";"Identidad del adjudicatario";"Ejercicio";"Código Expediente";"M"
"TRABAJOS EDITORIALES COLE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"20.715,20";"";"";"ALMOZARA ARTISSTICA SL";"2017";"";"CONTRATO MENOR"
"PROYECTO PARA CENTRO EXPOSITIVO CASTILLO NOVALLAS";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"7.247,90";"";"";"MONTERDE MALDONADO MYRIAM";"2017";"";"CONTRATO MENOR"
"OBRAS DE RESTAURACION INTERIOR ERMITA NTRA SRA. D";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"19.762,63";"";"";"CONSTRUCCIONES MENA ESCRIBANO";"2017";"";"CONTRATO MENOR"
"SERVICIO DE SEGURIDAD EN IAACC. SEPTIEMBRE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"19.692,97";"";"";"EULEN SEGURIDAD S.A.";"2017";"";"CONTRATO MENOR"
"IINSTALACION DERIVACION ELECTRICIDAD E ILUMINACION";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"19.345,19";"";"";"CLIMETEL S.L.";"2017";"";"CONTRATO MENOR"
"SEGURIDAD IAACC NOVIEMBRE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"19.279,34";"";"";"EULEN SEGURIDAD S.A.";"2017";"";"CONTRATO MENOR"
"SEGURIDAD IAACC. OCTUBRE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"19.207,89";"";"";"EULEN SEGURIDAD S.A.";"2017";"";"CONTRATO MENOR"
"PLANIFICACION, COORDINAC., SUPERVISION ESCULTURAS";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"7.260,00";"";"";"CALERO FERNANDEZ RICARDO";"2017";"";"CONTRATO MENOR"
"COORDINACIÓN PARTICIPANTE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"7.132,95";"";"";"PAVIA CAMARA, ANA MARIA";"2017";"";"CONTRATO MENOR"
"PROM. DIFUSI. MJCABRE OCT";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.210,00";"";"";"PAÑELLAS ROGLAN HUGO";"2017";"";"CONTRATO MENOR"
"REST.ESCULTURA SAN MIGUEL ARCÁNGEL EN PEIRÓN DE HU";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.596,73";"";"";"ECO-ARTE S.C.";"2017";"";"CONTRATO MENOR"
"COORDINACIÓN DE SEGURIDAD Y SALUD ILUMINACION SAN";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"726,00";"";"";"CORED GARCIA JAIME ERNESTO";"2017";"";"CONTRATO MENOR"
"COORDINACIÓN TERUEL PUNTO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.000,00";"";"";"SDAD FOTOGRAFICA TUROLENSE";"2017";"";"CONTRATO MENOR"
"LUZ AHPZ 23/8 A 9/11/17";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"774,00";"";"";"ENDESA ENERGIA S.A.";"2017";"";"CONTRATO MENOR"
"3º TR 2017 MAN.APAR.ELEVADOR. MUSEO Y NAVE MU HU";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"782,37";"";"";"THYSSENKRUPP ELEVADORES S.L.";"2017";"";"CONTRATO MENOR"
"IMPRESIÓN LIBROS LOS BECQ";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.100,00";"";"";"GAMBON S.A.";"2017";"";"CONTRATO MENOR"
"4º TR 2017 MAN.APAR.ELEVADOR. MUSEO Y NAVE MU HU";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"782,37";"";"";"THYSSENKRUPP ELEVADORES S.L.";"2017";"";"CONTRATO MENOR"
"CLIMATIZAC.JULIO Y AGOSTO M.Zª";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.216,36";"";"";"AMBITEC S.A.U";"2017";"";"CONTRATO MENOR"
"DISEÑO PARA COLECCIÓN DE CATÁLOGOS IAACC";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.114,00";"";"";"BRONCE ESTUDIO S.L.";"2017";"";"CONTRATO MENOR"
"LUZ METNO. 6-9 AL 9-11-17";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"293,12";"";"";"ENDESA ENERGIA S.A.";"2017";"";"CONTRATO MENOR"
"PROMOCIÓN DIFUSIÓN MJCABRE. SEPTIEMBRE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.210,00";"";"";"PAÑELLAS ROGLAN HUGO";"2017";"";"CONTRATO MENOR"
"4º TR 2017 MANT. CLIMATIZACION MUSEO HUESCA";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.279,53";"";"";"CLIMAGASBY S.L.";"2017";"";"CONTRATO MENOR"
"SERVICIO DE MANTENIMIENTO PORTAL DARA. OCTUBRE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.206,67";"";"";"KEEN SOFTWARE S.L.";"2017";"";"CONTRATO MENOR"
"TBAJOS. PORTAL DARA";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.219,99";"";"";"DEL PRADO MARTINEZ MIGUEL ANGE";"2017";"";"CONTRATO MENOR"
"LUZ MUSEO ZARAGOZA SEPTIEMBRE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"5.159,21";"";"";"ENDESA ENERGIA S.A.";"2017";"";"CONTRATO MENOR"
"CLIMAT. OCT/17 BCA. HUESC";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"297,59";"";"";"CLIMAGASBY S.L.";"2017";"";"CONTRATO MENOR"
"MANTENIMIENTO ASCENSOR MZ DICIEMBRE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"260,15";"";"";"SCHINDLER S.A.";"2017";"";"CONTRATO MENOR"
"SERVICIO DE MANTENIMIENTO DARA. SEPTIEMBRE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.206,67";"";"";"KEEN SOFTWARE S.L.";"2017";"";"CONTRATO MENOR"
"SERVICIO DE MANTENIMIENTO DARA AGOSTO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.206,67";"";"";"KEEN SOFTWARE S.L.";"2017";"";"CONTRATO MENOR"
"4º TR 2017 MANT. APAR.ELEVAD. ARCHIVO Hº PROV. HU";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"308,55";"";"";"ELEVARAGON SL";"2017";"";"CONTRATO MENOR"
"DIRECCION EJECUCION OBRAS EN ERMITA POZUEL DE ARIZ";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"799,21";"";"";"MARTIN IGEA JOSE RAMON";"2017";"";"CONTRATO MENOR"
"DISEÑO ELEMENTOS EXPOSITIVOS EXP. GOYA BUÑUEL";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.293,08";"";"";"LINEA DISEÑO INDUSTRIAL Y GRAF";"2017";"";"CONTRATO MENOR"
"PROMOCIÓN DIFU. MJCABRE. JULIO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.210,00";"";"";"PAÑELLAS ROGLAN HUGO";"2017";"";"CONTRATO MENOR"
"CLIMAT. AGOST/17 BCA. HUE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"297,59";"";"";"CLIMAGASBY S.L.";"2017";"";"CONTRATO MENOR"
"LUZ MCERA 27/6 A 28/7";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"288,54";"";"";"ENDESA ENERGIA S.A.";"2017";"";"CONTRATO MENOR"
"ESTUDIO DE PINTURAS CASA D LEPIDA CELSA, VELILLA D";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.599,75";"";"";"MACIAS GUZMAN MARIA ANGUSTIAS";"2017";"";"CONTRATO MENOR"
"ESTUDIO DE PINTURAS CASA B LEPIDA CELSA";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.599,75";"";"";"SANMARTIN MARTINEZ EVA";"2017";"";"CONTRATO MENOR"
"INSTALACION DE CLIMATIZACION PREVIA EN MONASTERIO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.626,54";"";"";"CLIMETEL S.L.";"2017";"";"CONTRATO MENOR"
"PIANISTA PARA CONCIERTO T";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.630,00";"";"";"MARTIN DIAZ JOSE RAMON";"2017";"";"CONTRATO MENOR"
"ACTUACIÓN CHE Y MOCHE S.L";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.630,00";"";"";"TEATRO CHE Y MOCHE S.L.";"2017";"";"CONTRATO MENOR"
"IMPRESIÓN DEL LIBRO BUÑUE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.541,20";"";"";"GAMBON S.A.";"2017";"";"CONTRATO MENOR"
"CLIMAT. JULIO/17 BCA. HUE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"297,59";"";"";"CLIMAGASBY S.L.";"2017";"";"CONTRATO MENOR"
"CLIMAT. SEPT/17 BCA. HUES";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"297,59";"";"";"CLIMAGASBY S.L.";"2017";"";"CONTRATO MENOR"
"CLIMAT. NOV/17 BCA HUESCA";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"297,59";"";"";"CLIMAGASBY S.L.";"2017";"";"CONTRATO MENOR"
"REDACCION MEM. VAL. RESTAURACION INTERIOR CUBIERTA";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.259,13";"";"";"SAN GIL LAPUERTA ALFREDO";"2017";"";"CONTRATO MENOR"
"LUZ AHPZ 24/7 A 23/8/17";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"279,84";"";"";"ENDESA ENERGIA S.A.";"2017";"";"CONTRATO MENOR"
"MONTAJE CÁMARA DE VIGILANCIA EN IAACC";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.990,58";"";"";"CIA VIGILANCIA ARAGONESA S.L.";"2017";"";"CONTRATO MENOR"
"LUZ MºCERAMICA31/10-27/11";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"636,42";"";"";"ENDESA ENERGIA S.A.";"2017";"";"CONTRATO MENOR"
"LUZ MCERÁ. 29-8 A 31-10";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"663,69";"";"";"ENDESA ENERGIA S.A.";"2017";"";"CONTRATO MENOR"
"GAS OCT/17 BCA HUESCA";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"667,94";"";"";"GAS NATURAL COMERCIALIZADORA S";"2017";"";"CONTRATO MENOR"
"MONTAJE EXP. BIGAS LUNA.IAACC";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.828,44";"";"";"GARCIA COCA, JOSE RAMON";"2017";"";"CONTRATO MENOR"
"GAS NOV/17 BCA. HUESCA";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.357,40";"";"";"GAS NATURAL COMERCIALIZADORA S";"2017";"";"CONTRATO MENOR"
"REDACCIÓNPROY REST. ALFARJE DEL CORO DE LA ERMITA";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.902,25";"";"";"CASTRO SOTERAS";"2017";"";"CONTRATO MENOR"
"ASCENS. 3ºTRIM/17 BCA. HU";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.281,39";"";"";"SCHINDLER S.A.";"2017";"";"CONTRATO MENOR"
"ASC. 4º TRIM/17 BCA. HUES";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.281,39";"";"";"SCHINDLER S.A.";"2017";"";"CONTRATO MENOR"
"3º TR 2017 MANT. CLIMATIZACION MUSEO HUESCA";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.279,54";"";"";"CLIMAGASBY S.L.";"2017";"";"CONTRATO MENOR"
"IMPRESIÓN DEL LIBRO "GOYA";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.358,08";"";"";"TIPO-LINEA S.A.";"2017";"";"CONTRATO MENOR"
"IMPRESIÓN DEL LIBRO ECOS";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.640,00";"";"";"CONEXION IMAGINATIVA S.L.";"2017";"";"CONTRATO MENOR"
"DIRECCIÓN RALLY CINEMATOG";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.980,00";"";"";"TORICO FILMS";"2017";"";"CONTRATO MENOR"
"IMPRESIÓN LIBRO RAMÓN J.";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.324,62";"";"";"INO REPRODUCCIONES S.A.";"2017";"";"CONTRATO MENOR"
"LUZ PLAZA 31/8 A 30/9";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"269,95";"";"";"ENDESA ENERGIA S.A.";"2017";"";"CONTRATO MENOR"
"DISEÑO Y MAQUETACION CATALOGO EXPO GOYA-BUÑUEL";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.832,74";"";"";"LINEA DISEÑO INDUSTRIAL Y GRAF";"2017";"";"CONTRATO MENOR"
"MANT. CLIMAT. IAACC AGOST";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.028,50";"";"";"INCLIZA S.L.";"2017";"";"CONTRATO MENOR"
"CLIMATIZACIÓN IACC. SEPT.";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.028,50";"";"";"INCLIZA S.L.";"2017";"";"CONTRATO MENOR"
"TBJOS NORMALIZACIÓN PORTAL DARA MEMORIA DEMOCRATIC";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.840,00";"";"";"DEL PRADO MARTINEZ MIGUEL ANGE";"2017";"";"CONTRATO MENOR"
"ASCENS. 4º TRIM BCA. ZGZA";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.327,48";"";"";"ZARDOYA OTIS S.A.";"2017";"";"CONTRATO MENOR"
"MANT. STMAS. C/ INCENDIOS";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.895,60";"";"";"SEGURIDAD AVANZADA TECNOLOGÍA";"2017";"";"CONTRATO MENOR"
"LUZ MUSEO ZARAGOZA OCTUBR";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.910,03";"";"";"ENDESA ENERGIA S.A.";"2017";"";"CONTRATO MENOR"
"PORTAL WEB DIRECC.GRAL.";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.923,49";"";"";"SRS SERVICIOS CULTURALES S.C.";"2017";"";"CONTRATO MENOR"
"ORGANIZACIÓN 1 ER SALÓN H";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.800,00";"";"";"ASOC ARAGONESA DE AUTORES DE C";"2017";"";"CONTRATO MENOR"
"DIRECCION Y PRODUCCION TECNICA P BUÑUEL DEL DESEO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.961,00";"";"";"GLARIA ABAD JOSE MANUEL";"2017";"";"CONTRATO MENOR"
"MANT. CLIMAT. IAACC JULIO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.028,50";"";"";"INCLIZA S.L.";"2017";"";"CONTRATO MENOR"
"LUZ METNO 11/7 A 6/9";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"262,46";"";"";"ENDESA ENERGIA S.A.";"2017";"";"CONTRATO MENOR"
"CARTELES EXPOSICION "LA INNOVACION ARAGONESA PUEST";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.989,56";"";"";"LUSAR REPROGRAFICAS SL";"2017";"";"CONTRATO MENOR"
"ASC. 3º TRIM/17 BCA. ZGZA";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.327,48";"";"";"ZARDOYA OTIS S.A.";"2017";"";"CONTRATO MENOR"
"ACTUACIÓN MUSICAL FESTIVA";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.991,25";"";"";"HEART OF GOLD PRODUCCIONES S.L";"2017";"";"CONTRATO MENOR"
"MANTENIMIENT ASCENSORES. MUSEO DE ZARAGOZA. AGOSTO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"260,15";"";"";"SCHINDLER S.A.";"2017";"";"CONTRATO MENOR"
"ADECUACION INSTALACION ELECTRICA SALA EXPOSICION M";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.306,57";"";"";"ELECTRICISTA 2013 S.L.";"2017";"";"CONTRATO MENOR"
"TRATAMIENTO DE DATOS ARCHIVO DE TRADICION ORAL PAR";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.995,00";"";"";"ARAGUAS PUEYO SANDRA REYES";"2017";"";"CONTRATO MENOR"
"REVISION DE CONTENIDOS INV PATRIMONIO INDUSTRIAL S";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.997,30";"";"";"PUYOL IBORT MARTA MARIA";"2017";"";"CONTRATO MENOR"
"CONTRATO DE SERVICIOS DIFUSION DEL PATRIMONIO CULT";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.999,72";"";"";"SETUAIN BARRAL ESTRELLA";"2017";"";"CONTRATO MENOR"
"MANTENIMIENTO ASCENSOR MZ NOVIEMBRE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"260,15";"";"";"SCHINDLER S.A.";"2017";"";"CONTRATO MENOR"
"MANTENIMIENTO DEL PORTAL DE PATRIMONIO CULTURAL DE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.954,95";"";"";"HIBERUS TECNOLOGIAS DE LA";"2017";"";"CONTRATO MENOR"
"CONCIERTOS DOLCE RIMA HUE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.396,59";"";"";"BRIEBA DEL RINCON PAULA";"2017";"";"CONTRATO MENOR"
"MANTENIMIENTO DARA NOVIEMBRE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.206,67";"";"";"KEEN SOFTWARE S.L.";"2017";"";"CONTRATO MENOR"
"4º TR 2017 MANT.INS.ELECTRI. Y GR.ELEC. MUSEO HU";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"882,25";"";"";"ELECTRICIDAD CARRUESCO HUESCA";"2017";"";"CONTRATO MENOR"
"3º TR 2017 MANT.INS.ELECTRI. Y GR.ELEC. MUSEO HU";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"882,25";"";"";"ELECTRICIDAD CARRUESCO HUESCA";"2017";"";"CONTRATO MENOR"
"REALIZACIÓN TEXTOS EXPLICATIVOS EL. EXP. CDAN";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.467,93";"";"";"NAYA CASANOVA S.L.";"2017";"";"CONTRATO MENOR"
"GAS NOV/17 BCA. TERUEL";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.171,79";"";"";"GAS NATURAL COMERCIALIZADORA S";"2017";"";"CONTRATO MENOR"
"GESTIÓN PORTAL WEB DGCP";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"890,01";"";"";"SRS SERVICIOS CULTURALES S.C.";"2017";"";"CONTRATO MENOR"
"Sesiones didácticas "Sijena y el alucinante mundo medieval"";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.500,00";"";"";"MENJON RUIZ, MARIA SANCHO";"2017";"";"CONTRATO MENOR"
"REDACCIÓN DE TEXTOS EXP. BIGAS LUNA. IAACC";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.500,00";"";"";"MEDINA DE VARGAS RAQUEL";"2017";"";"CONTRATO MENOR"
"MANT. CLIMAT. IAACC NOVIE";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.028,50";"";"";"INCLIZA S.L.";"2017";"";"CONTRATO MENOR"
"1000 COPIAS VIDEO PARA DG";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.561,70";"";"";"CALAVIA SOS VICTORIA";"2017";"";"CONTRATO MENOR"
"COOR. Y DCHOS. EXP."UN SUEÑO DE BALENCIAGA" IAACC";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.356,00";"";"";"FUNDACION CRISTOBAL BALENCIAGA";"2017";"";"CONTRATO MENOR"
"GRABACIÓN JUDERÍAS ARAGÓN";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.600,00";"";"";"GUIMERA MAUREL JOSE ANGEL";"2017";"";"CONTRATO MENOR"
"DOCUMENTACIÓN AUDIOVISUAL RED DE JUDERÍAS ARAGÓN";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.600,00";"";"";"GUIMERA MAUREL JOSE ANGEL";"2017";"";"CONTRATO MENOR"
"3º TR 2017 MANT. APAR. ELEVAD. ARCHIVO Hº PROV. HU";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"308,55";"";"";"ELEVARAGON SL";"2017";"";"CONTRATO MENOR"
"LUZ Mº Zª 1/11A 30/11";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.637,68";"";"";"ENDESA ENERGIA S.A.";"2017";"";"CONTRATO MENOR"
"2º TR. 2017 MANT. CALEFACCION ARCHIVO Hº PROV. HU";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"310,05";"";"";"FERNANDO PALACIN S.L.";"2017";"";"CONTRATO MENOR"
"REPARACION REFORMA INSTALACION ELECTRICA";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.379,47";"";"";"CLIMETEL S.L.";"2017";"";"CONTRATO MENOR"
"IMPRESIÓN DEL LIBRO JESÚS";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.335,33";"";"";"TIPO-LINEA S.A.";"2017";"";"CONTRATO MENOR"
"TRABAJOS FOTOGRÁFICOS PAR";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.743,20";"";"";"C.I. SERVICIOS FOTOGRAFICOS Y";"2017";"";"CONTRATO MENOR"
"TRABAJOS FOTOGRÁFICOS";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.743,20";"";"";"C.I. SERVICIOS FOTOGRAFICOS Y";"2017";"";"CONTRATO MENOR"
"TRANSPORTE, MANIP, CARGA Y DESCARGA BIENES SIJENA";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.774,66";"";"";"QUEROCHE S.L.";"2017";"";"CONTRATO MENOR"
"PORTAL WEB";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.544,76";"";"";"SRS SERVICIOS CULTURALES S.C.";"2017";"";"CONTRATO MENOR"
"CFZ ARRENDAMIENTO ENERO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"7.789,72";"";"";"EXPO ZARAGOZA EMPRESARIAL S.A.";"2017";"";"CONTRATO MENOR"
"CMD ARRENDAMIENTO ENERO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.686,87";"";"";"RESIDENCIA RAMON PIGNATELLI S.";"2017";"";"CONTRATO MENOR"
"DGD OBRAS REFUERZO REFUGIO RESPOMUSO FASE 2ª";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"48.006,26";"";"";"PROYECTOS REALIZACIONES ARAGON";"2017";"";"CONTRATO MENOR"
"CMD ARRENDAMIENTO FEBRERO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.686,87";"";"";"RESIDENCIA RAMON PIGNATELLI S.";"2017";"";"CONTRATO MENOR"
"COSTES CONSUMO ELECTRICO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.252,42";"";"";"EXPO ZARAGOZA EMPRESARIAL S.A.";"2017";"";"CONTRATO MENOR"
"PERIODICO ESTUDIANTE SEPT";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"20.549,22";"";"";"PRENSA DIARIA ARAGONESA S.A.";"2017";"";"CONTRATO MENOR"
"CFZ ARRENDAMIENTO ENERO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"7.789,72";"";"";"EXPO ZARAGOZA EMPRESARIAL S.A.";"2017";"";"CONTRATO MENOR"
"COSTES CLIMATIZACIÓN";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.547,84";"";"";"EXPO ZARAGOZA EMPRESARIAL S.A.";"2017";"";"CONTRATO MENOR"
"CAD ELECTRICIDAD FEBRERO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"5.288,67";"";"";"ENDESA ENERGIA S.A.";"2017";"";"CONTRATO MENOR"
"CAD REMODELACION ESPECIAL ARBOLADO CALLES";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.569,50";"";"";"GARDENIERS SL";"2017";"";"CONTRATO MENOR"
"CMD ARRENDAMIENTO AGOSTO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.686,87";"";"";"RESIDENCIA RAMON PIGNATELLI S.";"2017";"";"CONTRATO MENOR"
"CAD ELECTRICIDAD DICIEMBR";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"5.463,23";"";"";"ENDESA ENERGIA S.A.";"2017";"";"CONTRATO MENOR"
"CFZ ARRENDAMIENTO ENERO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"7.789,72";"";"";"EXPO ZARAGOZA EMPRESARIAL S.A.";"2017";"";"CONTRATO MENOR"
"CFZ CLIMATIZACION ENERO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.771,88";"";"";"EXPO ZARAGOZA EMPRESARIAL S.A.";"2017";"";"CONTRATO MENOR"
"DDD 2T/2017";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.467,55";"";"";"DAYMAX SL";"2017";"";"CONTRATO MENOR"
"CAD CENTRAL DE ALARMA DE INCENDIOS";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.982,78";"";"";"TECNICOS DE ALARMAS S.A. TECAL";"2017";"";"CONTRATO MENOR"
"CAD ADQUISICION ELIPTICA Y BICICLETA";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"4.888,28";"";"";"SALTER SPORT S.A.";"2017";"";"CONTRATO MENOR"
"CFZ ELECTRICIDAD DICIEMBR";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.326,79";"";"";"EXPO ZARAGOZA EMPRESARIAL S.A.";"2017";"";"CONTRATO MENOR"
"CFZ ARRENDAMIENTO ABRIL";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"7.789,72";"";"";"EXPO ZARAGOZA EMPRESARIAL S.A.";"2017";"";"CONTRATO MENOR"
"CMD ARRENDAMIENTO MAYO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.686,87";"";"";"RESIDENCIA RAMON PIGNATELLI S.";"2017";"";"CONTRATO MENOR"
"CFZ ARRENDAMIENTO JUNIO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"7.789,72";"";"";"EXPO ZARAGOZA EMPRESARIAL S.A.";"2017";"";"CONTRATO MENOR"
"CMD ARRENDAMIENTO JUNIO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"3.686,87";"";"";"RESIDENCIA RAMON PIGNATELLI S.";"2017";"";"CONTRATO MENOR"
"CFZ ELECTRICIDAD ENERO";"EDUCACIÓN, CULTURA Y DEPORTE";"";"";"";"1.407,52";"";"";"EXPO ZARAGOZA EMPRESARIAL S.A.";"2017";"";"CONTRATO MENOR"
