Obj,Organo,Procedimiento de adjudicación,Tipo de contrato,Importe de licitación,Importe de adjudicación,Identidad del adjudicatario,Ejercicio,Código Expediente,M
climatización ahpz. julio,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"157,30",INCLIZA S.L.,2017,,CONTRATO MENOR
seguro bca. aragon,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"9.012,70",LIBERTY SEGUROS CIA SEG. Y REA,2017,,CONTRATO MENOR
comisariado stand arcomadrid 2017,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"7.241,85",REVILLA HERNANDO ANA MARIA,2017,,CONTRATO MENOR
mantenimiento del sistema,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"8.591,00",DIGIBIS SL,2017,,CONTRATO MENOR
obras de cerramiento de mas del obispo - alcañiz,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"7.260,00",PROYECTOS REALIZACIONES ARAGON,2017,,CONTRATO MENOR
producc.obras escultor. bienal escultura alemania,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"7.260,00",CALERO FERNANDEZ RICARDO,2017,,CONTRATO MENOR
dirección de las obras de consolidación capillas s,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"2.315,98",CEROUNO ARQUITECTOS S.C.P.,2017,,CONTRATO MENOR
"pintura ecol.salas 1,2,3 museo zaragoza","EDUCACIÓN, CULTURA Y DEPORTE",,,,"7.404,64",CONSTRUCCIONES RUBIO MORTE S.A,2017,,CONTRATO MENOR
informatiz.registros inventario bienes muebles igl,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"2.359,50",GALINDO PEREZ SILVIA,2017,,CONTRATO MENOR
"concierto de amancio prada ""la voz de los poetas"";educación, cultura y deporte;"";"";"";7.580,65;"";"";camaina sa;2017;"";contrato menor
adecuación de cuadros eléctricos y emergencias de;educación, cultura y deporte;"";"";"";7.678,66;"";"";roldan pavon rafael;2017;"";contrato menor
suministro equipo digitalizacion gran capacidad;educación, cultura y deporte;"";"";"";19.675,81;"";"";vinfra s.a.;2017;"";contrato menor
mantenimiento climatización ahpz. junio;educación, cultura y deporte;"";"";"";157,30;"";"";incliza s.l.;2017;"";contrato menor
tratamiento de datos archivo de tradicion oral par;educación, cultura y deporte;"";"";"";4.995,00;"";"";araguas pueyo sandra reyes;2017;"";contrato menor
edicion dossier museos;educación, cultura y deporte;"";"";"";4.992,00;"";"";album letras artes sl;2017;"";contrato menor
compra libros para expos. en iaacc;educación, cultura y deporte;"";"";"";4.992,00;"";"";viena serveis editorials s.l.;2017;"";contrato menor
direcc.y montaje discurso expositivo exp.museo h.;educación, cultura y deporte;"";"";"";4.997,30;"";"";ester tabuenca marta;2017;"";contrato menor
luz museo zaragoza abril;educación, cultura y deporte;"";"";"";4.493,41;"";"";endesa energia s.a.;2017;"";contrato menor
actuación compañía el temple en el castillo de rub;educación, cultura y deporte;"";"";"";6.776,00;"";"";teatro del temple s.l.;2017;"";contrato menor
seguridad 06/2017 museo pedagogico aragon hu;educación, cultura y deporte;"";"";"";6.545,62;"";"";cia vigilancia aragonesa s.l.;2017;"";contrato menor
limpieza iaacc. junio;educación, cultura y deporte;"";"";"";6.375,59;"";"";limpiezas lorai s.l;2017;"";contrato menor
rest. retablo s.bartolomé;educación, cultura y deporte;"";"";"";4.849,62;"";"";eco-arte s.c.;2017;"";contrato menor
rest. retablo s.bartolomé;educación, cultura y deporte;"";"";"";4.849,62;"";"";eco-arte s.c.;2017;"";contrato menor
mant. sistema contra incendios varios centros;educación, cultura y deporte;"";"";"";4.895,60;"";"";seguridad avanzada tecnología;2017;"";contrato menor
asc. 1º trim/17 bca. teru;educación, cultura y deporte;"";"";"";442,86;"";"";thyssenkrupp elevadores s.l.;2017;"";contrato menor
gas mayo/17 bca. huesca;educación, cultura y deporte;"";"";"";533,62;"";"";gas natural comercializadora s;2017;"";contrato menor
luz ahpz 24/7 a 23/8/17;educación, cultura y deporte;"";"";"";332,16;"";"";endesa energia s.a.;2017;"";contrato menor
revision de contenidos inv patrimonio industrial s;educación, cultura y deporte;"";"";"";4.997,30;"";"";puyol ibort marta maria;2017;"";contrato menor
cableado fonotec. jota;educación, cultura y deporte;"";"";"";5.181,47;"";"";desarrollo e integracion de;2017;"";contrato menor
luz museo de la cerámica. zaragoza;educación, cultura y deporte;"";"";"";467,29;"";"";endesa energia s.a.;2017;"";contrato menor
mant. transf. bca. aragon;educación, cultura y deporte;"";"";"";464,28;"";"";montajes industriales alvarez;2017;"";contrato menor
actividades didácticas y talleres en m pedagógico;educación, cultura y deporte;"";"";"";5.414,75;"";"";juan borroy victor manuel;2017;"";contrato menor
curso de danza en peñarroya de tastavins impartido;educación, cultura y deporte;"";"";"";5.445,00;"";"";arkhe danza s.l.;2017;"";contrato menor
curso de danza en peñarro;educación, cultura y deporte;"";"";"";5.445,00;"";"";arkhe danza s.l.;2017;"";contrato menor
edición del la fabrica de la memoria;educación, cultura y deporte;"";"";"";5.464,20;"";"";imprenta felix arilla s.l.;2017;"";contrato menor
tratamiento antipalomas en iaacc;educación, cultura y deporte;"";"";"";5.590,20;"";"";daymax sl;2017;"";contrato menor
luz plaza 28/2-31/3;educación, cultura y deporte;"";"";"";315,91;"";"";endesa energia s.a.;2017;"";contrato menor
gestión contenidos portal web direcc.gral.;educación, cultura y deporte;"";"";"";4.923,49;"";"";srs servicios culturales s.c.;2017;"";contrato menor
luz plaza 30/06 a 31/07;educación, cultura y deporte;"";"";"";383,21;"";"";endesa energia s.a.;2017;"";contrato menor
transporte piezas iaacc;educación, cultura y deporte;"";"";"";4.200,00;"";"";spedart srl;2017;"";contrato menor
obras de reparacion de las cerradicas, galve, teru;educación, cultura y deporte;"";"";"";4.500,00;"";"";promociones altogra sl;2017;"";contrato menor
estudio basico seguridad y salud ""la cabañeta""","EDUCACIÓN, CULTURA Y DEPORTE",,,,"992,20",LECHON BLASCO DAVID,2017,,CONTRATO MENOR
coordinación en seguridad en castillo de mesones d,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"1.008,13",SEBASTIAN FRANCO PABLO,2017,,CONTRATO MENOR
organización y gestión jo,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"4.500,00",EL FANTASMA PRODUCCIONES S.L.,2017,,CONTRATO MENOR
2º tr 2017 mant. ins.electri. y gr.elec. museo hu,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"882,25",ELECTRICIDAD CARRUESCO HUESCA,2017,,CONTRATO MENOR
montaje exp. de las artes y de las letras en iaacc,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"4.537,50","GARCIA COCA, JOSE RAMON",2017,,CONTRATO MENOR
mant. clim. iaacc. junio,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"1.028,50",INCLIZA S.L.,2017,,CONTRATO MENOR
montaje exposición obras de colección enate. iaacc,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"4.542,34","GARCIA COCA, JOSE RAMON",2017,,CONTRATO MENOR
gestión contenidos portal web dgcp,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"4.544,76",SRS SERVICIOS CULTURALES S.C.,2017,,CONTRATO MENOR
luz plaza d 31/05 a 30/06,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"315,68",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
grabacion actos celebrados en stand arco 2017,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"4.602,84",IMASC COMUNICACION POSITIVA S.,2017,,CONTRATO MENOR
luz mvelilla 20/4 a 19/6,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"331,62",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
luz museo cerámica 29/2/16 31/3/16,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"835,18",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
rep. climat. bca. zgza.,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"367,88",AMBITEC S.A.U,2017,,CONTRATO MENOR
climat. mayo/17 bca. zgza,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"367,88",AMBITEC S.A.U,2017,,CONTRATO MENOR
climat. junio/17 bca. zgz,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"367,88",AMBITEC S.A.U,2017,,CONTRATO MENOR
luz ahpz 22/06 a 24/07,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"358,22",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
reparacion de enfriadora sist climatizacion iaacc,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"4.663,17",INCLIZA S.L.,2017,,CONTRATO MENOR
luz plaza del 31/7 a 31/8,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"348,02",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
mant. ascensor ahpz. del 01/04/17 al 30/06/17,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"345,90",ZARDOYA OTIS S.A.,2017,,CONTRATO MENOR
mantenimiento sistemas contra incendios marzo-mayo,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"4.895,60",SEGURIDAD AVANZADA TECNOLOGÍA,2017,,CONTRATO MENOR
producción mat. gráficos exp. orwell. museo huesca,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"4.924,70",PULSAR SOLUCIONES GRAFICAS S.L,2017,,CONTRATO MENOR
"montaje exp. d javier joven ""contra acción"". iaacc","EDUCACIÓN, CULTURA Y DEPORTE",,,,"3.569,50","GARCIA COCA, JOSE RAMON",2017,,CONTRATO MENOR
desmontaje tabiquerias y adecuac. salas expos.goya,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"4.564,12",FELTRERO DIVISION ARTE S.L.,2017,,CONTRATO MENOR
climatz. marz/17 bca. zgz,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"367,88",AMBITEC S.A.U,2017,,CONTRATO MENOR
luz archivo de zaragoza. de 24/03/17 al 26/04/2017,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"317,33",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
creacion identidad grafica exposicion museo huesca,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"4.999,72",MASNODOGRAFICO S.L.,2017,,CONTRATO MENOR
coordinación y organización festival de música a c,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"6.050,00",CONLABOCA PRODUCCIONES SDAD CO,2017,,CONTRATO MENOR
1ºtr. 2017 mant. calefaccion archivo hº prov. hu,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"310,05",FERNANDO PALACIN S.L.,2017,,CONTRATO MENOR
limpieza museo zaragoza. julio,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"5.992,66",DISTRIVISUAL S.L.,2017,,CONTRATO MENOR
realizacion fotografias de b. arquitectonicos para,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"5.649,00",BLASCO NAVARRO JAVIER,2017,,CONTRATO MENOR
luz museo cerámica 27/04 a 29/05,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"404,02",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
luz plaza 30/11 a 31/12,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"323,46",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
limpieza iaacc. julio,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"6.375,59",LIMPIEZAS LORAI S.L,2017,,CONTRATO MENOR
seguridad 05/2017 museo pedagogico aragon hu,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"6.205,85",CIA VIGILANCIA ARAGONESA S.L.,2017,,CONTRATO MENOR
clim. abril/17 bca. zgza.,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"367,88",AMBITEC S.A.U,2017,,CONTRATO MENOR
limpieza de mantenimiento. museo zaragoza. junio,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"5.992,66",DISTRIVISUAL S.L.,2017,,CONTRATO MENOR
limpieza mz mayo,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"5.992,66",DISTRIVISUAL S.L.,2017,,CONTRATO MENOR
programación y comunicaci,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"6.000,00",EL FANTASMA PRODUCCIONES S.L.,2017,,CONTRATO MENOR
estudio de materiales arqueológicos c7 arcos de te,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"6.000,00",HERRERO GASCON MIGUEL ANGEL,2017,,CONTRATO MENOR
"estudio arqueologico castillo de albentosa, teruel","EDUCACIÓN, CULTURA Y DEPORTE",,,,"6.352,50",IBAÑEZ GONZALEZ EMILIO JAVIER,2017,,CONTRATO MENOR
diseño gráfico libro vecindad y frontera.,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"6.136,00",LAHUERTA GUILLEN VICTOR MANUEL,2017,,CONTRATO MENOR
luz museo etnológico zaragoza 12/03/17 al 10/05/17,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"405,70",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
carpinteria museo huesca,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"5.668,85",MORENO MARIN FRANCISCO JAVIER,2017,,CONTRATO MENOR
luz museo zaragoza. del 1/7/17 al 31/7/17,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"6.143,53",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
clim. marz/17 bca. teruel,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"411,97","GESTE INNOVACION, S.L.L.",2017,,CONTRATO MENOR
climat. feb/17 bca. terue,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"411,97","GESTE INNOVACION, S.L.L.",2017,,CONTRATO MENOR
clim. abril/17 bca. terue,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"411,97","GESTE INNOVACION, S.L.L.",2017,,CONTRATO MENOR
mantenimiento. ascensor. ahpz. marzo 2017,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"345,90",ZARDOYA OTIS S.A.,2017,,CONTRATO MENOR
luz archivo de zaragoza. de 24/03/17 al 26/04/2017,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"342,04",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
1er vencimiento 50% espac,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"5.841,00",INSTITUCION FERIAL DE MADRID,2017,,CONTRATO MENOR
ptas. 1º trim/17 bca.teru,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"335,69",ASSA ABLOY ENTRANCE SYSTEMS SP,2017,,CONTRATO MENOR
"cerramiento de corral de la gasca, alcañiz, teruel","EDUCACIÓN, CULTURA Y DEPORTE",,,,"5.898,30",PROYECTOS REALIZACIONES ARAGON,2017,,CONTRATO MENOR
acondicionamiento cajas para transporte obra en mz,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"6.115,35",QUEROCHE S.L.,2017,,CONTRATO MENOR
gas natural museo de zaragoza oct-nov 2017,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"3.221,46",GAS NATURAL COMERCIALIZADORA S,2017,,CONTRATO MENOR
estudio topografico casa delfines lepida celsa,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"3.229,40",RODRIGUEZ SIMON PEDRO,2017,,CONTRATO MENOR
trabajos para exposic. en cdan,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"3.132,10",NAYA CASANOVA S.L.,2017,,CONTRATO MENOR
seguridad ahpz. octubre,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"2.392,40",OMBUDS COMPAÑIA DE SEGURIDAD S.A.,2017,,CONTRATO MENOR
direccion ejecucion obras 50% yacimiento la malena,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"2.033,55",LOPEZ URALDE ARNAL DANIEL,2017,,CONTRATO MENOR
direccion ejecucion obras 50% yacimiento la malena,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"2.033,55",SEBASTIAN FRANCO PABLO,2017,,CONTRATO MENOR
ptas. 3º trim/17 bca. ter,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"335,69",ASSA ABLOY ENTRANCE SYSTEMS SP,2017,,CONTRATO MENOR
luz plaza del 31/7 a 31/8,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"348,02",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
mant. ascensor ahpz oc-di,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"345,90",ZARDOYA OTIS S.A.,2017,,CONTRATO MENOR
video promocional lenguas aragon 2017,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"3.146,00",BERNAL REDONDO IGNACIO,2017,,CONTRATO MENOR
luz ahpz 24/7 a 23/8/17,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"332,16",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
ptas. 4º trim bca. teruel,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"335,69",ASSA ABLOY ENTRANCE SYSTEMS SP,2017,,CONTRATO MENOR
rep. baños bca. aragon,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"3.147,94",CONSTRUCCIONES RUBIO MORTE S.A,2017,,CONTRATO MENOR
recital lírico en museo d,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"3.180,00",FERNANDEZ AGUIRRE RUBEN,2017,,CONTRATO MENOR
alarmas 4º trim bca. arag,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"1.678,27",CIA VIGILANCIA ARAGONESA S.L.,2017,,CONTRATO MENOR
climat. nov/17 bca teruel,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"411,97","GESTE INNOVACION, S.L.L.",2017,,CONTRATO MENOR
climat. agost/17 bca. ter,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"411,97","GESTE INNOVACION, S.L.L.",2017,,CONTRATO MENOR
climat. oct/17 bca. terue,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"411,97","GESTE INNOVACION, S.L.L.",2017,,CONTRATO MENOR
alarmas 3º trim bca. zgza,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"1.678,27",CIA VIGILANCIA ARAGONESA S.L.,2017,,CONTRATO MENOR
mant. puertas autom. 2º trim / bca. teruel,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"335,69",ASSA ABLOY ENTRANCE SYSTEMS SP,2017,,CONTRATO MENOR
2º sem. 2017 mant.ventanas motor. museo hu,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"580,80",TALLERES ELECTRICOS ESCUER S.L,2017,,CONTRATO MENOR
climatización museo zaragoza noviembre,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"608,18",AMBITEC S.A.U,2017,,CONTRATO MENOR
luz ahpz 23/8 a 26/9/17,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"351,53",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
gasoleo c museo etnológico,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"495,10",REPSOL COMERCIAL DE PRODUCTOS,2017,,CONTRATO MENOR
mant. stemas. seguridad archivos y museos. noviemb,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"524,33",TECNICOS DE ALARMAS S.A. TECAL,2017,,CONTRATO MENOR
levantamiento topografico del castillo de los luna,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"2.783,00",HERNANDEZ JUSTE JOSE JAVIER,2017,,CONTRATO MENOR
gestión contenidos portal web dgcp,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"1.893,65",SRS SERVICIOS CULTURALES S.C.,2017,,CONTRATO MENOR
mant. sistemas seguridad archivos y museos. octubr,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"524,33",TECNICOS DE ALARMAS S.A. TECAL,2017,,CONTRATO MENOR
mant.ascensor bca teruel,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"442,86",THYSSENKRUPP ELEVADORES S.L.,2017,,CONTRATO MENOR
ascens. 4º trim bca. teru,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"442,86",THYSSENKRUPP ELEVADORES S.L.,2017,,CONTRATO MENOR
comisariado de p. usabiaga exp. balenciaga. iaacc,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"3.025,00",ZAPAPINO S.L.,2017,,CONTRATO MENOR
climatización museo zaragoza. octubre,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"608,18",AMBITEC S.A.U,2017,,CONTRATO MENOR
luz metno 10/5 a 11/7,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"418,89",ENDESA ENERGIA S.A.,2017,,CONTRATO MENOR
mant. stemas. seguridad museos y archivos. septiem,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"524,33",TECNICOS DE ALARMAS S.A. TECAL,2017,,CONTRATO MENOR
redaccion de proytecto de estabilizacion yac playa,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"2.964,50",GEOSCAN CONSULTORIA S.L.P.,2017,,CONTRATO MENOR
mantenimiento climatización mz. septiembre,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"608,18",AMBITEC S.A.U,2017,,CONTRATO MENOR
papel de laboratorio (pac,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"605,00",PROQUINORTE S.A.,2017,,CONTRATO MENOR
mantenimiento ascensores iaacc agosto,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"1.802,21",THYSSENKRUPP ELEVADORES S.L.,2017,,CONTRATO MENOR
mant. ascensor iaacc octu,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"1.802,21",THYSSENKRUPP ELEVADORES S.L.,2017,,CONTRATO MENOR
mant. ascensor iaacc novi,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"1.802,21",THYSSENKRUPP ELEVADORES S.L.,2017,,CONTRATO MENOR
mant. ascensores iaacc di,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"1.802,21",THYSSENKRUPP ELEVADORES S.L.,2017,,CONTRATO MENOR
mantenimiento ascensores iaacc julio,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"1.802,21",THYSSENKRUPP ELEVADORES S.L.,2017,,CONTRATO MENOR
catalog. patrim. aragones,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"3.000,00",FERNANDEZ SANTIAGO ELENA,2017,,CONTRATO MENOR
dir y coord seguridad y salud obras rest. cubierta,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"1.413,62",SAN GIL LAPUERTA ALFREDO,2017,,CONTRATO MENOR
"montaje exp. ""un sueño de balenciaga ..."" iaacc","EDUCACIÓN, CULTURA Y DEPORTE",,,,"3.121,80","GARCIA COCA, JOSE RAMON",2017,,CONTRATO MENOR
mobiliario jota bca. arag,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"3.100,26",LARA BELSUE S.L.U.,2017,,CONTRATO MENOR
direccion obras 50% yacimiento la malena,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"1.525,24",IBARGUEN SOLER JAVIER,2017,,CONTRATO MENOR
limpieza ahz diciembre,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"2.458,78",DISTRIVISUAL S.L.,2017,,CONTRATO MENOR
limpieza ahpz octubre,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"2.458,78",DISTRIVISUAL S.L.,2017,,CONTRATO MENOR
limpieza ahpz. agosto.,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"2.458,78",DISTRIVISUAL S.L.,2017,,CONTRATO MENOR
limpieza ahpz. septiembre,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"2.458,78",DISTRIVISUAL S.L.,2017,,CONTRATO MENOR
limpieza ahpz noviembre,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"2.458,78",DISTRIVISUAL S.L.,2017,,CONTRATO MENOR
coordinacion seguridad salud retejado iglesia s.,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"605,00",FRAJ GARCIA GABRIEL,2017,,CONTRATO MENOR
mant. ascensor iaacc sept,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"1.802,21",THYSSENKRUPP ELEVADORES S.L.,2017,,CONTRATO MENOR
mant clim. jul/17 bca. te,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"411,97","GESTE INNOVACION, S.L.L.",2017,,CONTRATO MENOR
servicio de seguridad del ahpz. septiembre,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"2.482,92",OMBUDS COMPAÑIA DE SEGURIDAD S.A.,2017,,CONTRATO MENOR
climaz. agost'17 bca. zgz,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"367,88",AMBITEC S.A.U,2017,,CONTRATO MENOR
climat. sept/17 bca. zgza,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"367,88",AMBITEC S.A.U,2017,,CONTRATO MENOR
climat. nov/17 bca. zgza,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"367,88",AMBITEC S.A.U,2017,,CONTRATO MENOR
direccion obras 50% yacimiento la malena,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"1.525,24",SEBASTIAN FRANCO SERGIO,2017,,CONTRATO MENOR
climat. sept/17 bca. teru,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"411,97","GESTE INNOVACION, S.L.L.",2017,,CONTRATO MENOR
climat. oct/17 bca. zgza,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"367,88",AMBITEC S.A.U,2017,,CONTRATO MENOR
seguridad ahpz noviembre,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"2.651,04",OMBUDS COMPAÑIA DE SEGURIDAD S.A.,2017,,CONTRATO MENOR
mant. sistema seguridad museos y archivos. agosto,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"524,33",TECNICOS DE ALARMAS S.A. TECAL,2017,,CONTRATO MENOR
servicio de seguridad ahpz. agosto,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"2.465,68",OMBUDS COMPAÑIA DE SEGURIDAD S.A.,2017,,CONTRATO MENOR
servicio limpieza en iaacc. septiembre,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"6.375,59",LIMPIEZAS LORAI S.L,2017,,CONTRATO MENOR
mant. jardín mz. julio,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"172,45",EBRO JARDIN ARAGON S.A.,2017,,CONTRATO MENOR
mant. jardín mz. octubre,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"172,45",EBRO JARDIN ARAGON S.A.,2017,,CONTRATO MENOR
seguridad mz,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"166,13",OMBUDS COMPAÑIA DE SEGURIDAD S.A.,2017,,CONTRATO MENOR
cald sep/oct bca teruel,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"164,56",ESTEBAN RIPOLL S.L.U.,2017,,CONTRATO MENOR
torre alta tension de seira,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"5.989,50",COMPAIS PARDINA JESUS,2017,,CONTRATO MENOR
limpieza de mantenimiento. mz. septiembre,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"5.992,66",DISTRIVISUAL S.L.,2017,,CONTRATO MENOR
limpieza museo zaragoza. octubre,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"5.992,66",DISTRIVISUAL S.L.,2017,,CONTRATO MENOR
limpieza museo zaragoza noviembre,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"5.992,66",DISTRIVISUAL S.L.,2017,,CONTRATO MENOR
mant.caldera bca teruel,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"164,56",ESTEBAN RIPOLL S.L.U.,2017,,CONTRATO MENOR
mant. caldera bca. teruel,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"164,56",ESTEBAN RIPOLL S.L.U.,2017,,CONTRATO MENOR
mantenimiento ascensor mz. octubre,"EDUCACIÓN, CULTURA Y DEPORTE",,,,"260,15",SCHINDLER S.A.,2017,,CONTRATO MENOR
