Àmbit subjectiu,Òrgan de contractació,Codi d'expedient,id,Objecte del contracte,Descripció de la prestació,Tipus de contracte,Pressupost de licitació (sense IVA),Data de publicació,Empresa adjudicatària,Import d'adjudicació (sense IVA),Enllaç a la publicació,Codi CPV,Data d'adjudicació
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/AH01/1101195838/20/CMUI,2955,Subministrament de circuit Bipap per a pacients COVID. Pla de contingència front a l'epidèmia del SARS-CoV-2 de l'Hospital Universitari Vall d'Hebron.,Subministrament de circuit Bipap per a pacients COVID. Pla de contingència front a l'epidèmia del SARS-CoV-2 de l'Hospital Universitari Vall d'Hebron.,Subministraments,3007.2,2020-06-25T00:00:00Z,"INTERSURGICAL ESPAÑA, S.L.",3007.2,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64652917&lawType=3,33100000,2020-04-27T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament de la Vicepresidència i d'Economia i Hisenda,EC 2020 250,2956,"EC 2020 250 Ampliació del servei d'inserció publicitària de la campanya JO ACTUO, consistent en l'augment dels dies d'emissió al mitjà televisió i complementar-la amb la inserció d'anuncis al mitjà exterior en diversos idiomes i anuncis a hipermercats i supermercats de tot el territori de Catalunya","Ampliació del servei d'inserció publicitària de la campanya JO ACTUO, consistent en l'augment dels dies d'emissió al mitjà televisió i complementar-la amb la inserció d'anuncis al mitjà exterior en diversos idiomes i anuncis a hipermercats i supermercats de tot el territori de Catalunya",Serveis,44885.4,2020-04-22T00:00:00Z,WAVEMAKER PUBLICIDAD SPAIN SL,44885.4,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=61532483&lawType=3,79341200,2020-03-25T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya,CTTI-2020-196,2957,Subministrament de les plataformes d'anàlisi Voyager Analytics i Voyager Check per a la Comissaria General d'Informació del Cos de Mossos d'Esquadra (CGINF).,"Dotació a la Comissaria General d'Informació del Cos de Mossos d'Esquadra (CGINF) d'un sistema basat en la intel·ligència artificial que permeti dur a terme estratègies de recerca d'amenaces a internet centrades en combatre el terrorisme de caire gihadista amb molta més capacitat i profunditat.Aquest sistema ha de possibilitar la recerca exhaustiva d'entitats concretes a internet (identitats, nicknames, comptes de correu, telèfons, etc.) i facilitar-ne el seu anàlisi per poder establir relacions d'interès entre les entitats i augmentar així les capacitats de generació d'intel·ligència, d'investigació i de recerca d'evidències relatives a fets delictius de caire terrorista gihadista.",Subministraments,1224616.5,2020-07-17T00:00:00Z,S21sec,1224616.5,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65980125&lawType=3,48000000,2020-07-15T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Fundació de Gestió Sanitària de l'Hospital de la Santa Creu i Sant Pau,COVID-19/MS COMANDES ESPECIALS 2,2958,SONDA NUTR.ENTER.ENFIT 6  114CM A/FIADO,"Subministrament de material sanitari relatiu a comandes especials, necessari per fer front a la pandèmia del COVID-19",Subministraments,0,2020-06-12T00:00:00Z,OIARSO  S.COOP.LTDA,160,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64040809&lawType=3,33100000,2020-04-17T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Ferrocarrils de la Generalitat de Catalunya,CONTE/2020/0000000001,2959,Servei de reforç de la neteja i desinfecció addicional dels edificis dels tallers de Martorell (REF:PEMC11/20),Servei de reforç de la neteja i desinfecció addicional dels edificis dels tallers de Martorell (REF:PEMC11/20),Serveis,37044,2020-05-08T00:00:00Z,"ACCIONA FACILITY SERVICES, SA",37044,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewDcan&idDoc=62675020&lawType=3,90910000,2020-05-06T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/AH01/1101202499/20/CMUI,2960,Subministrament de 6 agitadors pel servei de microbiologia de l'Hospital Universitari Vall d'Hebron,Subministrament de 6 agitadors pel servei de microbiologia de l'Hospital Universitari Vall d'Hebron,Subministraments,1813.08,2020-07-01T00:00:00Z,VWR INTERNATIONAL EUROLAB SL,1813.08,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65023163&lawType=3,38436100,2020-06-09T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya,CTTI-2020-178,2961,Subministrament de llicències pels Departaments i entitats de la Generalitat de Catalunya per atendre l'emergència COVID-19.,"Subministrament de llicències pels Departaments i Entitats de la Generalitat de Catalunya per atendre la emergència Covid-19. La Direcció General Autonomia Personal i Discapacitats, del departament de Treball Afers Socials i Famílies, necessita disposar per a la gestió de la pandèmia COVID-19 d'un canal centralitzat per a una comunicació més àgil i accessible i que permeti l'intercanvi d'informació entre els diferents agents.",Subministraments,41546.74,2020-06-22T00:00:00Z,"SEIDOR, S.A.",41546.74,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64500385&lawType=3,48000000,2020-06-20T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/CC00/1101209227/20/CMUI,2962,CONTRACTACIÓ EMERGÈNCIA SUBMINISTRAMENT MATERIAL PROTECCIÓ: ULLERES,Contractació emergència subministrament material protecció: ulleres,Subministraments,160800,2020-07-31T00:00:00Z,QUALIMAX INTERNATIONAL SL,160800,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=66795613&lawType=3,33140000,2020-07-30T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/CC00/1101191679/20/CMUI,2963,CONTRACTACIÓ EMERGÈNCIA SUBMINISTRAMENT GEL ANTISÈPTIC CORONAVIRUS,Contractació emergència subministrament gel antiseptic coronavirus,Subministraments,18900,2020-06-15T00:00:00Z,CISCAR MEDICAL SL,18900,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64086345&lawType=3,33700000,2020-03-04T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CSE/AH03/1101201422/20/CEM,2964,"Contractació del lloguer, entrega i retirada d'ampolles i dewars d'oxigen per l'Hospital Universitari Germans Trias i Pujol","Contractació del lloguer, entrega i retirada d'ampolles i dewars d'oxigen per l'Hospital Universitari Germans Trias i Pujol",Subministraments,15167.24,2020-07-09T00:00:00Z,ESTEVE TEIJIN HEALTHCARE SL,15167.24,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65538140&lawType=3,33157800,2020-04-30T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020-1104,2965,"Subministrament de Material de Cobertura, Pijames i Protecció",Subministrament de material fungible sanitari - Publicació MASSIVA contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-07-23T00:00:00Z,"EXPLATEC, S.L.",14850,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=66328502&lawType=3,33140000,2020-05-25T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Assistència Sanitària (IAS),CONTR/2020/0000000020,2966,DRENATGE REDON 400cc C-40,Subministrament de material sanitari corresponent al mes de març 2020 per atendre la urgència de la COVID_19 (Serveis Logístics) de L'IAS,Subministraments,226476.57,2020-05-15T00:00:00Z,"IBERHOSPITEX, S.A.",222,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62152530&lawType=3,33140000,2020-04-30T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),1101194370,2967,Obres menors de remodelació o millora,Execució dels treballs i la compra d'equipament per a habilitar una àrea de tractament de 24 llits de pacients crítics a la planta sisena maternal de l'Hospital Universitari Germans Trias i Pujol,Obres,38894.3,2020-06-12T00:00:00Z,GOMINTEC CONSTRUCCION SL,10240,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64012467&lawType=3,45215100,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),1101194370,2968,Obres menors de remodelació o millora,Execució dels treballs i la compra d'equipament per a habilitar una àrea de tractament de 24 llits de pacients crítics a la planta sisena maternal de l'Hospital Universitari Germans Trias i Pujol,Obres,38894.3,2020-06-12T00:00:00Z,GOMINTEC CONSTRUCCION SL,10240,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64012467&lawType=3,45215100,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei d'Ocupació de Catalunya (SOC),SOC-2020-233,2969,Subministrament de mampares de protecció de sobretaula pels Centres del Servei Públic d'Ocupació de Catalunya (SOC),Subministrament de mampares de protecció de sobretaula pels Centres del SOC,Subministraments,215727.68,2020-06-12T00:00:00Z,"COMERCIAL CONTEL, SA",215727.68,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64041997&lawType=3,44212329,2020-06-05T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei d'Ocupació de Catalunya (SOC),SOC-2020-246,2970,Servei addicional de vigilància per a les Oficines de Treball del SOC a la província de Barcelona (Litoral),"Servei addicional de vigilància per a les Oficines de Treball del SOC a la província de Barcelona (Litoral), mitjançant tramitació d'emergència",Serveis,280855.58,2020-07-10T00:00:00Z,"ENERPRO, SL",280855.58,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65587068&lawType=3,79714000,2020-06-17T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1086,2971,SERVEI TELEFONIA COVID-19,erveis transversals generals - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Serveis,0,2020-07-01T00:00:00Z,"ONEDIRECT COMUNICACIONES, S.L.",175.9,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65032975&lawType=3,98311000,2020-04-30T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,"Logaritme, Serveis Logístics, AIE",CMU_5_2020,2972,"Servei d'ampliació de prestatgeries per ubicació de material sanitari en palets al magatzem de Logaritme, motivat per falta d'espai d'emmagatzematge per la crisi COVID-19","Servei d'ampliació de prestatgeries per ubicació de material sanitari en palets al magatzem de Logaritme, motivat per falta d'espai d'emmagatzematge per la crisi COVID-19",Serveis,16130,2020-06-18T00:00:00Z,"MECALUX, SA",16130,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64338855&lawType=3,39151100,2020-04-17T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei Català de la Salut (CatSalut),4.1-Allotjament de professionals,2973,Allotjament de professionals sanitaris a l'Hotel Don Candido,"Publicació massiva de contractes tramitats per emergència, dels serveis d'allotjament de professionals  en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.",Serveis,0,2020-05-20T00:00:00Z,"NORTIA HOTELS & RESORTS, S.A.",44334.55,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62073594&lawType=3,55110000,2020-05-20T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),CS/CC00/1101194241/20/CMUI,2974,CONTRACTACIÓ EMERGÈNCIA SUBMINISTRAMENT EQUIPS I MANOMETRES CORONAVIRUS,contractació emergència subministrament equips i manòmetres,Subministraments,44529.4,2020-05-20T00:00:00Z,"VYGON,S.A.U.",44529.4,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62512753&lawType=3,33100000,2020-03-19T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1000,2975,AZITROMICINA  500MG IV SOL PERF 10ML,Subministrament de medicaments - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-05-27T00:00:00Z,PFIZER SLU,6112.47,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63089784&lawType=3,33690000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Sistema d'Emergències Mèdiques SA (SEMSA),CE107/2020,2976,COMPRA EMERGÈNCIA 107: Instal-lació i posada en funcionament PANTALLA 75'' per a magatzem RUBÍ,Instal-lació i posada en funcionament ÀNTALLA 75'' per a magatzem RUBÍ,Serveis,115,2020-05-21T00:00:00Z,"AV Tècnic Sistemes Audiovisuals, SL",115,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62606532&lawType=3,30231300,2020-05-06T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020-1102,2977,SUBMINITRAMENT DE CABINA DE FLUX LAMINAR,2020-1102 - Subministrament d'equipament i mobiliari sanitari - Publicació MASSIVA contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-07-23T00:00:00Z,"PALEX MEDICAL, S.A.",16560,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=66328694&lawType=3,33192000,2020-05-26T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari de l'Anoia,CE_CSA_2020 desinfectants I,2978,Subministrament de desinfectants de superfícies I,Subministrament de desinfectants de superfícies I,Subministraments,4351,2020-05-28T00:00:00Z,Instrunet,4351,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63202160&lawType=3,24455000,2020-03-15T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospitalari de Vic,CHV CE 16/20,2979,EQUIP DE RAIGS X PORTATIL,Publicació massiva de contractes tramitats d'emergència .,Subministraments,0,2020-07-14T00:00:00Z,Fujifilm Europe GmbH,72600,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65442888&lawType=3,33000000,2020-03-13T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1000,2980,AZITROMICINA  500 MG COMP,Subministrament de medicaments - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-05-27T00:00:00Z,PFIZER SLU,17388.71,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63089784&lawType=3,33690000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Assistència Sanitària (IAS),SOLUCIO ANTISEPTIC 5L,2981,Publicació massiva de contractes tramitats d'emergència,"Publicació massiva de contractes tramitats d'emergència per part de Serveis Logistics de l'IAS, per atendre la pandèmia Covid_19 corresponent al mes de Maig 2020",Subministraments,139225.25,2020-06-30T00:00:00Z,ARTPROQUIM SLU,3927.27,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64945050&lawType=3,33140000,2020-06-25T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020-1104,2982,SUBMINISTRAMENT DE PETIT MATERIAL SANITARI,Subministrament de material fungible sanitari - Publicació MASSIVA contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-07-23T00:00:00Z,"PERKINELMER ESPAÑA, S.L.",400,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=66328502&lawType=3,33140000,2020-05-25T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1047,2983,Mat.limp. farmacia,"Subministrament de material de ferreteria, neteja, rober, comestibles i altres materials no sanitaris - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIES",Subministraments,0,2020-06-09T00:00:00Z,"FEDERACIO FARMACEUTICA, S.COOP.",49.2,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64002747&lawType=3,44316000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,"Departament de Treball, Afers Socials i Famílies",E-95-2020,2984,Contracte d'emergència per al subministrament de diversos materials de prevenció per a les OASF i per als equipaments cívics de la  DGACC. (E-95-2020),Contracte d'emergència per al subministrament de diversos materials de prevenció per a les OASF i per als equipaments cívics de la  DGACC.,Subministraments,66603.1,2020-06-19T00:00:00Z,"SERVICIO ESTACIÓN, SA,",66603.1,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64418846&lawType=3,33000000,2020-06-04T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei Català de la Salut (CatSalut),5100-2020-N1232,2985,Subministrament dequipament mèdic divers.,"Publicació massiva de contractes tramitats per emergència, de subministrament d'equipament mèdic  en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.",Subministraments,0,2020-06-18T00:00:00Z,"ERGO K TRES, SL",59850,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64300560&lawType=3,33000000,2020-06-18T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020-1104,2986,Subministrament de Material de cures i apòsits,Subministrament de material fungible sanitari - Publicació MASSIVA contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-07-23T00:00:00Z,3M ESPAÑA SL,7406.3,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=66328502&lawType=3,33140000,2020-05-25T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Sanitari del Maresme,CSdM 35/20SG,2987,Subministrament de bates impermeables reutilitzables de roba,Publicació massiva de contractes tramitats d'emergència .,Subministraments,0,2020-05-20T00:00:00Z,Logar-Punt S.L.,8421.6,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62744939&lawType=3,33111000,2020-05-19T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Servei Català de la Salut (CatSalut),10.1-Subministraments i serveis diversos,2988,Serveis de valoració del sòl dotacional per dispositius provisionals emergència covid a la regió metropolitana sud,"Publicació massiva de contractes tramitats per emergència, de subministraments i serveis diversos per a la posada en funcionament de dispositius provisionals d'assistència covid, en el marc de l'estratègia de resposta a l'epidèmia del SARS-CoV-2.",Serveis,0,2020-05-20T00:00:00Z,"SAVILLS AGUIRRE NEWMAN VALORACIONES Y TASACIONES, SAU",5000,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=62074782&lawType=3,65000000,2020-05-20T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Fundació de Gestió Sanitària de l'Hospital de la Santa Creu i Sant Pau,COVID-19/MS COMANDES ESPECIALS 2,2989,MASCARA ORO-NASAL VNI REBUTJABLE,"Subministrament de material sanitari relatiu a comandes especials, necessari per fer front a la pandèmia del COVID-19",Subministraments,0,2020-06-12T00:00:00Z,VYAIRE MEDICAL SLU,750,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64040809&lawType=3,33100000,2020-04-17T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Departament d'Educació,ED-2020-1060,2990,Servei de transport d'ordinadors del Pla d'Equitat Digital del Departament d'Educació en relació a situacions vinculades al coronavirus sars-cov-2 (covid-19) a les zones corresponents als serveis territorials del Departament d'Educació a Barcelona Comarques i a la Catalunya Central.,Servei de transport d'ordinadors del Pla d'Equitat Digital del Departament d'Educació en relació a situacions vinculades al coronavirus sars-cov-2 (covid-19) a les zones corresponents als serveis territorials del Departament d'Educació a Barcelona Comarques i a la Catalunya Central.,Serveis,67921.25,2020-07-16T00:00:00Z,"PIBAN, S.A.",67921.25,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65964815&lawType=3,60161000,2020-07-08T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1048,2991,Mat.rebutjable de laboratori,Subministrament de material rebutjable de laboratori - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-06-09T00:00:00Z,"THERMO FISHER SCIENTIFIC, S.L.",324.8,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64000462&lawType=3,33140000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1000,2992,"MAGNESIO SULFATO  1,5G 10 ML AMP",Subministrament de medicaments - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-05-27T00:00:00Z,"SANOFI-AVENTIS, S.A.",3488.86,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63089784&lawType=3,33690000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1043,2993,"Catèters, sondes i altre material fungible sanitari","Subministrament de catèters, sondes i altre material fungibe sanitari - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA",Subministraments,0,2020-06-09T00:00:00Z,"B. BRAUN MEDICAL, S.A.",4583.25,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64001795&lawType=3,33141200,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut Català de la Salut (ICS),1101196192,2994,Rack monitorització,"Equipament general: aparells mèdics, materials i accessoris d'aparells, mobiliari clínic i general i obres de condicionament per habilitar 60 llits crítics per al tractament estable de pacients amb Covid per l'Hospital Universitari Germans Trias i Pujol",Subministraments,291638.39,2020-06-12T00:00:00Z,"MIRAY CONSULTING, SL",9899.18,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=64019695&lawType=3,33192000,2020-05-04T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Institut d'Assistència Sanitària (IAS),contr/2020/000000052,2995,"GLUCOSA 10% BAXTER 500 ML BOLSA VIAFLO (GLUCOSALINO VIAFLO 3,3%+0,3% BAXTER 500PRISMASOL 2 MMOL/L 5.000 ML (2 BOLSAS)","Subministrament de material de farmàcia per al servei de farmàcia  de l'IAS, per atendre l'emergència de la COVID_19 JUNY 2020",Subministraments,8548.74,2020-07-24T00:00:00Z,"BAXTER, S.L.",1569.2,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=66398092&lawType=3,33610000,2020-07-23T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1000,2996,PROPOFOL 2% 20MG/ML VIAL 50 ML,Subministrament de medicaments - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-05-27T00:00:00Z,"FRESENIUS KABI ESPAÑA, S.A.U",6400,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63089784&lawType=3,33690000,2020-03-16T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Mar Parc de Salut de Barcelona,353/2020,2997,"1 vigilant de seguretat sense arma en horari de 08:00h a 22:00h, tots els dies de la setmana inclosos caps de setmana i festius. Durant el mes de juny 2020",Publicació massiva de contractes tramitats per emergència de serveis relacionats amb les mesures adoptades per fer front a la situació de crisi sanitària ocasionada per la COVID-19 del Consorci Mar Parc de Salut de Barcelona (correspon al mes de juny).,Serveis,0,2020-07-13T00:00:00Z,"SABICO SEGURIDAD, S.A.",7224,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=65733542&lawType=3,44211300,2020-07-10T00:00:00Z
DEPARTAMENTS I SECTOR PÚBLIC DE LA GENERALITAT DE CATALUNYA,Consorci Hospital Clínic de Barcelona (HCB),2020/1000,2998,POTASIO CLORURO 10 MEQ/ 5ML AMP,Subministrament de medicaments - Publicació MASSIVA de contractes tramitats d'EMERGÈNCIA,Subministraments,0,2020-05-27T00:00:00Z,"FRESENIUS KABI ESPAÑA, S.A.U",965,https://contractaciopublica.gencat.cat/ecofin_pscp/AppJava/awardnotice.pscp?reqCode=viewPcan&idDoc=63089784&lawType=3,33690000,2020-03-16T00:00:00Z
